,Unnamed: 0,0,1
47,47,The War and Women's Human Rights Museum,"(37.5600537, 126.9148471)"
48,48,Hongdae NANTA Theatre,"(37.5530872, 126.9211193)"
49,49,Cheongwadae Sarangchae,"(37.5729503, 126.9793579)"
50,50,D-Cube City,"(37.5084321, 126.8887332)"
51,51,Seonyudo Park,"(37.543569, 126.8997156)"
52,52,The Blue House (Cheong Wa Dae),"(37.586652, 126.9767701)"
53,53,Jeongdong Theater,"(37.5659672, 126.9728593)"
54,54,Ewha Woman's University,"(37.5606558, 126.9465796)"
55,55,Sungnyemun Gate,"(37.55994159999999, 126.9753042)"
56,56,Hyundai Department Store Apgujeong Main,"(37.5273268, 127.0274265)"
57,57,Banpodaegyo Bridge,"(37.5125507, 126.9980133)"
58,58,COEX Center,"(37.51168500000001, 127.0593394)"
