,name,suggest_time
0,Deoksugung,
1,Yeouido Park,
2,Olympic Park,
3,Myeong-dong Cathedral,
4,Seoul Children's Grand Park,
5,Lotte World Aquarium,
6,Gwanghwamun Gate,
7,National Folk Museum of Korea,
8,Changgyeonggung Palace,
9,Starfield COEX Mall,
10,Jamsil Baseball Stadium,
11,Coex Aquarium,1-2 hours
12,Grevin Museum,1-2 hours
13,Seodaemun Prison History Hall,
14,Seoul Lantern Festival,
15,Namsangol Hanok Village,
16,Namdaemun Market,2-3 hours
17,Korea House,
18,Itaewon,
19,Samcheongdong-gil Road,
20,Garosu-gil,1-2 hours
21,Naksan Park,
22,Shinsegae Dept. Store Main,
23,Lotte World,More than 3 hours
24,Inwangsan Mountain,
25,Majang Meat Market,
26,Seoul Museum of History,
27,Seoul City Wall,
28,Ikseon-dong Hanok Street,
29,Jongmyo Shrine,2-3 hours
