,name,suggest_time
0,Doota,
1,apm Place,
2,Korea University,
3,Bugaksan Seoul Fortress,
4,Korean Postage Stamp Museum,
5,Star Avenue at Lotte World,
6,Migliore Dongdaemun Shop,
7,Lotte Young Plaza Myeongdong,
8,D Museum,
9,Yongsan Family Park,
10,Gilsangsa Shrine,
11,Statue of Gangnam Style,
12,Shinsegae Gangnam,
13,Dongdaemun Gate (Heunginjimun),
14,I-Park Mall,
15,National Hangeul Museum,
16,Kwanghee Fasion Mall,
17,Tourist Information Center of Korea Tourism Organization,
18,Hongik University,
19,Seoul Museum of Art,
20,Dream Forest,
21,Jeongdong Observatory,
22,The Story of King Sejong & The Story of Admiral Yi Sunshin,
23,Seoul National Cemetery,
24,Seoul Plaza,
25,Ttukseom Hangang Park,
26,Seven Luck Casino Gangbuk Hilton,
27,Unhyeongung,
28,Eungbongsan Mountain,
29,Mecenatpolis Mall,
