,title,text
0,4.0,Very beautiful and you can tell they work very hard on maintenance. One of the nicer aquariums. Beluga whales. Unfortunately I will not go back probably. Very sad. Small tanks.
1,4.0,"It is really worth to go this aquarium. They have so many unique fish that you never see it before. I saw sea turtle and the best part, they have Beluga whale and they are so active and cute..."
