,Name,0.5,1.5
124,Jungbu Market,"[(124, 2)]","[(124, 2), (124, 22), (124, 24), (124, 30), (124, 31), (124, 36), (124, 43), (124, 46), (124, 60), (124, 73), (124, 74), (124, 84), (124, 92), (124, 104), (124, 106), (124, 117), (124, 140), (124, 142)]"
125,Seoullo 7017,"[(125, 56), (125, 105), (125, 111), (125, 164), (125, 173)]","[(125, 9), (125, 10), (125, 11), (125, 12), (125, 13), (125, 14), (125, 15), (125, 33), (125, 34), (125, 37), (125, 47), (125, 49), (125, 51), (125, 52), (125, 54), (125, 56), (125, 61), (125, 64), (125, 66), (125, 69), (125, 83), (125, 89), (125, 92), (125, 101), (125, 105), (125, 111), (125, 113), (125, 115), (125, 123), (125, 127), (125, 129), (125, 131), (125, 135), (125, 136), (125, 141), (125, 143), (125, 150), (125, 156), (125, 157), (125, 160), (125, 163), (125, 164), (125, 167), (125, 171), (125, 173)]"
126,Seoul World Cup Stadium,[],"[(126, 149), (126, 165)]"
127,Seoul City Hall,"[(127, 9), (127, 10), (127, 11), (127, 15), (127, 37), (127, 47), (127, 49), (127, 51), (127, 54), (127, 89), (127, 101), (127, 131), (127, 135), (127, 141), (127, 156), (127, 171)]","[(127, 0), (127, 6), (127, 9), (127, 10), (127, 11), (127, 14), (127, 15), (127, 16), (127, 33), (127, 34), (127, 37), (127, 47), (127, 49), (127, 51), (127, 52), (127, 54), (127, 56), (127, 57), (127, 61), (127, 62), (127, 64), (127, 66), (127, 78), (127, 83), (127, 86), (127, 89), (127, 92), (127, 95), (127, 96), (127, 101), (127, 105), (127, 111), (127, 113), (127, 115), (127, 117), (127, 119), (127, 121), (127, 123), (127, 125), (127, 129), (127, 131), (127, 135), (127, 136), (127, 138), (127, 141), (127, 143), (127, 150), (127, 156), (127, 157), (127, 160), (127, 163), (127, 164), (127, 167), (127, 171), (127, 173)]"
128,Seolleung & Jeongneung Royal Tomb,[],"[(128, 17), (128, 23), (128, 41), (128, 85), (128, 98), (128, 100), (128, 137), (128, 176)]"
129,Gwanghwamun Square,"[(129, 33), (129, 52), (129, 54), (129, 113), (129, 143), (129, 150), (129, 157), (129, 163), (129, 167)]","[(129, 0), (129, 6), (129, 9), (129, 10), (129, 11), (129, 14), (129, 15), (129, 16), (129, 19), (129, 33), (129, 34), (129, 37), (129, 47), (129, 49), (129, 51), (129, 52), (129, 54), (129, 57), (129, 61), (129, 62), (129, 70), (129, 78), (129, 83), (129, 86), (129, 89), (129, 92), (129, 95), (129, 96), (129, 101), (129, 105), (129, 108), (129, 111), (129, 113), (129, 115), (129, 117), (129, 119), (129, 121), (129, 123), (129, 125), (129, 127), (129, 131), (129, 135), (129, 136), (129, 138), (129, 141), (129, 143), (129, 144), (129, 150), (129, 156), (129, 157), (129, 163), (129, 164), (129, 167), (129, 171), (129, 173)]"
130,Times Square Mall,[],[]
131,Lotte Department Store Main,"[(131, 9), (131, 10), (131, 11), (131, 14), (131, 15), (131, 34), (131, 37), (131, 47), (131, 101), (131, 111), (131, 127), (131, 136), (131, 141), (131, 156)]","[(131, 0), (131, 6), (131, 9), (131, 10), (131, 11), (131, 14), (131, 15), (131, 16), (131, 33), (131, 34), (131, 37), (131, 47), (131, 49), (131, 51), (131, 52), (131, 54), (131, 56), (131, 57), (131, 61), (131, 62), (131, 64), (131, 66), (131, 78), (131, 83), (131, 86), (131, 89), (131, 92), (131, 95), (131, 96), (131, 101), (131, 104), (131, 105), (131, 106), (131, 111), (131, 113), (131, 115), (131, 117), (131, 119), (131, 121), (131, 123), (131, 125), (131, 127), (131, 129), (131, 135), (131, 136), (131, 138), (131, 141), (131, 143), (131, 144), (131, 150), (131, 156), (131, 157), (131, 163), (131, 164), (131, 167), (131, 171), (131, 173)]"
132,Seoul Central Mosque,[],"[(132, 28), (132, 107)]"
133,Samcheonggak,[],"[(133, 19), (133, 40), (133, 108), (133, 158), (133, 170)]"
134,63 City,[],"[(134, 27), (134, 139), (134, 146)]"
135,Dongdaemun History & Culture Park,"[(135, 9), (135, 10), (135, 11), (135, 15), (135, 54), (135, 89), (135, 127), (135, 141), (135, 156), (135, 171), (135, 173)]","[(135, 0), (135, 6), (135, 9), (135, 10), (135, 11), (135, 14), (135, 15), (135, 16), (135, 33), (135, 34), (135, 37), (135, 47), (135, 52), (135, 54), (135, 56), (135, 61), (135, 64), (135, 66), (135, 78), (135, 83), (135, 86), (135, 89), (135, 92), (135, 95), (135, 101), (135, 105), (135, 111), (135, 113), (135, 115), (135, 121), (135, 123), (135, 125), (135, 127), (135, 129), (135, 131), (135, 136), (135, 138), (135, 141), (135, 143), (135, 150), (135, 156), (135, 157), (135, 160), (135, 163), (135, 164), (135, 167), (135, 171), (135, 173)]"
136,Stylenanda Pink Hotel Flagship Store,"[(136, 14), (136, 34), (136, 37), (136, 61), (136, 92), (136, 111), (136, 131)]","[(136, 2), (136, 6), (136, 9), (136, 10), (136, 11), (136, 12), (136, 13), (136, 14), (136, 15), (136, 16), (136, 33), (136, 34), (136, 37), (136, 47), (136, 49), (136, 51), (136, 52), (136, 54), (136, 56), (136, 57), (136, 61), (136, 64), (136, 66), (136, 83), (136, 89), (136, 92), (136, 101), (136, 104), (136, 105), (136, 106), (136, 111), (136, 113), (136, 117), (136, 123), (136, 125), (136, 127), (136, 129), (136, 131), (136, 135), (136, 138), (136, 141), (136, 143), (136, 150), (136, 156), (136, 157), (136, 163), (136, 164), (136, 167), (136, 171), (136, 173)]"
137,COEX Center,"[(137, 23), (137, 41), (137, 100), (137, 176)]","[(137, 17), (137, 23), (137, 41), (137, 100), (137, 128), (137, 176)]"
138,Alive Museum Insadong,"[(138, 6), (138, 57), (138, 83), (138, 117), (138, 123)]","[(138, 0), (138, 2), (138, 3), (138, 6), (138, 9), (138, 10), (138, 11), (138, 14), (138, 15), (138, 16), (138, 19), (138, 24), (138, 33), (138, 34), (138, 37), (138, 47), (138, 49), (138, 51), (138, 52), (138, 54), (138, 57), (138, 61), (138, 62), (138, 70), (138, 78), (138, 83), (138, 89), (138, 92), (138, 95), (138, 96), (138, 97), (138, 101), (138, 104), (138, 106), (138, 108), (138, 111), (138, 113), (138, 117), (138, 119), (138, 121), (138, 123), (138, 127), (138, 129), (138, 131), (138, 135), (138, 136), (138, 141), (138, 143), (138, 144), (138, 150), (138, 156), (138, 157), (138, 163), (138, 164), (138, 167)]"
139,Seoul International Fireworks Festival,"[(139, 27)]","[(139, 27), (139, 90), (139, 134), (139, 146), (139, 155)]"
140,Ihwa Mural Village,"[(140, 79), (140, 110), (140, 116)]","[(140, 2), (140, 3), (140, 22), (140, 24), (140, 30), (140, 31), (140, 36), (140, 43), (140, 46), (140, 60), (140, 73), (140, 74), (140, 79), (140, 84), (140, 97), (140, 110), (140, 116), (140, 117), (140, 124), (140, 142), (140, 162)]"
141,Sinchon,"[(141, 37), (141, 47), (141, 49), (141, 51), (141, 54), (141, 89), (141, 101), (141, 127), (141, 131), (141, 135)]","[(141, 0), (141, 6), (141, 14), (141, 16), (141, 33), (141, 34), (141, 37), (141, 47), (141, 49), (141, 51), (141, 52), (141, 54), (141, 56), (141, 57), (141, 61), (141, 62), (141, 64), (141, 66), (141, 78), (141, 83), (141, 86), (141, 89), (141, 92), (141, 95), (141, 96), (141, 101), (141, 105), (141, 111), (141, 113), (141, 115), (141, 117), (141, 119), (141, 121), (141, 123), (141, 125), (141, 127), (141, 129), (141, 131), (141, 135), (141, 136), (141, 138), (141, 143), (141, 150), (141, 157), (141, 160), (141, 163), (141, 164), (141, 167), (141, 171), (141, 173)]"
142,Dongdaemun Shopping Complex,"[(142, 22), (142, 30), (142, 36), (142, 43), (142, 46), (142, 60), (142, 73), (142, 74)]","[(142, 2), (142, 22), (142, 24), (142, 30), (142, 31), (142, 36), (142, 43), (142, 46), (142, 60), (142, 73), (142, 74), (142, 79), (142, 84), (142, 110), (142, 116), (142, 124), (142, 140)]"
143,Statue of Sejong the Great,"[(143, 0), (143, 33), (143, 52), (143, 54), (143, 95), (143, 113), (143, 121), (143, 129), (143, 150), (143, 163), (143, 167)]","[(143, 0), (143, 6), (143, 9), (143, 10), (143, 11), (143, 14), (143, 15), (143, 16), (143, 19), (143, 33), (143, 34), (143, 37), (143, 47), (143, 49), (143, 51), (143, 52), (143, 54), (143, 57), (143, 62), (143, 70), (143, 78), (143, 83), (143, 86), (143, 89), (143, 92), (143, 95), (143, 96), (143, 101), (143, 105), (143, 108), (143, 111), (143, 113), (143, 115), (143, 117), (143, 119), (143, 121), (143, 123), (143, 125), (143, 127), (143, 129), (143, 131), (143, 135), (143, 136), (143, 138), (143, 141), (143, 144), (143, 150), (143, 156), (143, 163), (143, 164), (143, 167), (143, 170), (143, 171), (143, 173)]"
144,Arario Museum in Space,"[(144, 3), (144, 57), (144, 117)]","[(144, 0), (144, 3), (144, 6), (144, 14), (144, 16), (144, 19), (144, 24), (144, 33), (144, 47), (144, 52), (144, 54), (144, 57), (144, 62), (144, 70), (144, 83), (144, 92), (144, 95), (144, 96), (144, 97), (144, 101), (144, 108), (144, 113), (144, 117), (144, 119), (144, 121), (144, 123), (144, 129), (144, 131), (144, 138), (144, 143), (144, 150), (144, 157), (144, 163), (144, 167), (144, 170)]"
145,Seoul Arts Center,[],[]
146,Noryangjin Fisheries Wholesale Market,[],"[(146, 27), (146, 134), (146, 139)]"
147,Gocheok Sky Dome,[],[]
148,Seoul Botanical Garden,[],[]
149,Mangwon Market,[],"[(149, 20), (149, 71), (149, 126), (149, 165), (149, 169)]"
150,National Museum of Korean Contemporary History,"[(150, 0), (150, 16), (150, 33), (150, 52), (150, 95), (150, 113), (150, 121), (150, 129), (150, 143), (150, 157), (150, 163), (150, 167)]","[(150, 0), (150, 6), (150, 9), (150, 10), (150, 11), (150, 14), (150, 15), (150, 16), (150, 19), (150, 33), (150, 34), (150, 37), (150, 47), (150, 49), (150, 51), (150, 52), (150, 54), (150, 57), (150, 61), (150, 62), (150, 70), (150, 78), (150, 83), (150, 86), (150, 89), (150, 92), (150, 95), (150, 96), (150, 101), (150, 105), (150, 108), (150, 111), (150, 113), (150, 115), (150, 117), (150, 119), (150, 121), (150, 123), (150, 125), (150, 127), (150, 129), (150, 131), (150, 135), (150, 136), (150, 138), (150, 141), (150, 143), (150, 144), (150, 156), (150, 157), (150, 163), (150, 167), (150, 170), (150, 171), (150, 173)]"
151,Express Bus Terminal Shopping Center,"[(151, 42), (151, 118)]","[(151, 42), (151, 118), (151, 175)]"
152,Kyunghee University Seoul Campus,[],[]
153,Common Ground,[],"[(153, 55)]"
154,Yongma Land,[],[]
155,IFC Mall,"[(155, 90)]","[(155, 27), (155, 65), (155, 90), (155, 139)]"
156,SRT,"[(156, 37), (156, 47), (156, 49), (156, 51), (156, 54), (156, 89), (156, 101), (156, 127), (156, 131), (156, 135)]","[(156, 0), (156, 6), (156, 14), (156, 16), (156, 33), (156, 34), (156, 37), (156, 47), (156, 49), (156, 51), (156, 52), (156, 54), (156, 56), (156, 57), (156, 61), (156, 62), (156, 64), (156, 66), (156, 78), (156, 83), (156, 86), (156, 89), (156, 92), (156, 95), (156, 96), (156, 101), (156, 105), (156, 111), (156, 113), (156, 115), (156, 117), (156, 119), (156, 121), (156, 123), (156, 125), (156, 127), (156, 129), (156, 131), (156, 135), (156, 136), (156, 138), (156, 143), (156, 150), (156, 157), (156, 160), (156, 163), (156, 164), (156, 167), (156, 171), (156, 173)]"
157,Statue of Admiral Yi Sun-Sin,"[(157, 0), (157, 33), (157, 52), (157, 54), (157, 95), (157, 113), (157, 121), (157, 129), (157, 150), (157, 163), (157, 167)]","[(157, 0), (157, 6), (157, 9), (157, 10), (157, 11), (157, 14), (157, 15), (157, 16), (157, 19), (157, 33), (157, 34), (157, 37), (157, 47), (157, 49), (157, 51), (157, 52), (157, 54), (157, 57), (157, 62), (157, 70), (157, 78), (157, 83), (157, 86), (157, 89), (157, 92), (157, 95), (157, 96), (157, 101), (157, 105), (157, 108), (157, 111), (157, 113), (157, 115), (157, 117), (157, 119), (157, 121), (157, 123), (157, 125), (157, 127), (157, 129), (157, 131), (157, 135), (157, 136), (157, 138), (157, 141), (157, 144), (157, 150), (157, 156), (157, 163), (157, 164), (157, 167), (157, 170), (157, 171), (157, 173)]"
158,Korea Furniture Museum,"[(158, 40)]","[(158, 40), (158, 133)]"
159,Lotte World Folk Museum,"[(159, 120)]","[(159, 8), (159, 29), (159, 94), (159, 120)]"
160,Lotte Outlets Seoul Station,"[(160, 64)]","[(160, 9), (160, 10), (160, 11), (160, 15), (160, 34), (160, 37), (160, 49), (160, 51), (160, 56), (160, 64), (160, 66), (160, 69), (160, 89), (160, 105), (160, 111), (160, 125), (160, 127), (160, 135), (160, 141), (160, 156), (160, 164), (160, 171), (160, 173)]"
161,Garak Market,[],[]
162,Seoul Daehangno,[],"[(162, 3), (162, 40), (162, 79), (162, 97), (162, 110), (162, 116), (162, 140)]"
163,Grilled Fish Street in Dongdaemun Market,"[(163, 16), (163, 52), (163, 123), (163, 129), (163, 143), (163, 150), (163, 157)]","[(163, 0), (163, 3), (163, 6), (163, 9), (163, 10), (163, 11), (163, 14), (163, 15), (163, 16), (163, 19), (163, 34), (163, 37), (163, 47), (163, 49), (163, 51), (163, 52), (163, 54), (163, 57), (163, 61), (163, 62), (163, 70), (163, 78), (163, 83), (163, 86), (163, 89), (163, 92), (163, 95), (163, 96), (163, 101), (163, 105), (163, 108), (163, 111), (163, 115), (163, 117), (163, 119), (163, 121), (163, 123), (163, 125), (163, 127), (163, 129), (163, 131), (163, 135), (163, 136), (163, 138), (163, 141), (163, 143), (163, 144), (163, 150), (163, 156), (163, 157), (163, 164), (163, 170), (163, 171), (163, 173)]"
164,Namsan Cable Car,"[(164, 34), (164, 66), (164, 105), (164, 111), (164, 125)]","[(164, 6), (164, 9), (164, 10), (164, 11), (164, 12), (164, 13), (164, 14), (164, 15), (164, 33), (164, 34), (164, 37), (164, 47), (164, 49), (164, 51), (164, 52), (164, 54), (164, 56), (164, 61), (164, 64), (164, 66), (164, 69), (164, 83), (164, 89), (164, 92), (164, 101), (164, 104), (164, 105), (164, 106), (164, 111), (164, 113), (164, 123), (164, 125), (164, 127), (164, 129), (164, 131), (164, 135), (164, 136), (164, 138), (164, 141), (164, 143), (164, 156), (164, 157), (164, 160), (164, 163), (164, 167), (164, 171), (164, 173)]"
165,The War and Women's Human Rights Museum,[],"[(165, 7), (165, 20), (165, 25), (165, 48), (165, 68), (165, 122), (165, 126), (165, 149), (165, 166)]"
166,Hongdae NANTA Theatre,"[(166, 7), (166, 20), (166, 25), (166, 122)]","[(166, 7), (166, 20), (166, 25), (166, 48), (166, 68), (166, 71), (166, 122), (166, 165)]"
167,Cheongwadae Sarangchae,"[(167, 16), (167, 52), (167, 123), (167, 129), (167, 143), (167, 150), (167, 157)]","[(167, 0), (167, 3), (167, 6), (167, 9), (167, 10), (167, 11), (167, 14), (167, 15), (167, 16), (167, 19), (167, 34), (167, 37), (167, 47), (167, 49), (167, 51), (167, 52), (167, 54), (167, 57), (167, 61), (167, 62), (167, 70), (167, 78), (167, 83), (167, 86), (167, 89), (167, 92), (167, 95), (167, 96), (167, 101), (167, 105), (167, 108), (167, 111), (167, 115), (167, 117), (167, 119), (167, 121), (167, 123), (167, 125), (167, 127), (167, 129), (167, 131), (167, 135), (167, 136), (167, 138), (167, 141), (167, 143), (167, 144), (167, 150), (167, 156), (167, 157), (167, 164), (167, 170), (167, 171), (167, 173)]"
168,D-Cube City,[],[]
169,Seonyudo Park,[],"[(169, 71), (169, 149)]"
170,The Blue House (Cheong Wa Dae),[],"[(170, 0), (170, 16), (170, 19), (170, 33), (170, 52), (170, 57), (170, 62), (170, 70), (170, 78), (170, 95), (170, 96), (170, 108), (170, 113), (170, 119), (170, 121), (170, 133), (170, 143), (170, 144), (170, 150), (170, 157), (170, 163), (170, 167)]"
171,Jeongdong Theater,"[(171, 49), (171, 51), (171, 54), (171, 89), (171, 115), (171, 127), (171, 135)]","[(171, 0), (171, 6), (171, 9), (171, 10), (171, 11), (171, 14), (171, 15), (171, 16), (171, 33), (171, 34), (171, 37), (171, 47), (171, 49), (171, 51), (171, 52), (171, 54), (171, 56), (171, 61), (171, 64), (171, 66), (171, 78), (171, 83), (171, 86), (171, 89), (171, 92), (171, 95), (171, 96), (171, 101), (171, 105), (171, 111), (171, 113), (171, 115), (171, 121), (171, 123), (171, 125), (171, 127), (171, 129), (171, 131), (171, 135), (171, 136), (171, 141), (171, 143), (171, 150), (171, 156), (171, 157), (171, 160), (171, 163), (171, 164), (171, 167), (171, 173)]"
172,Ewha Woman's University,[],"[(172, 21), (172, 59)]"
173,Sungnyemun Gate,"[(173, 49), (173, 51), (173, 56), (173, 105), (173, 125), (173, 135)]","[(173, 9), (173, 10), (173, 11), (173, 14), (173, 15), (173, 33), (173, 34), (173, 37), (173, 47), (173, 49), (173, 51), (173, 52), (173, 54), (173, 56), (173, 61), (173, 64), (173, 66), (173, 69), (173, 83), (173, 86), (173, 89), (173, 92), (173, 101), (173, 105), (173, 111), (173, 113), (173, 115), (173, 123), (173, 125), (173, 127), (173, 129), (173, 131), (173, 135), (173, 136), (173, 141), (173, 143), (173, 150), (173, 156), (173, 157), (173, 160), (173, 163), (173, 164), (173, 167), (173, 171)]"
174,Hyundai Department Store Apgujeong Main,[],"[(174, 82), (174, 87), (174, 109)]"
175,Banpodaegyo Bridge,[],"[(175, 42), (175, 118), (175, 151)]"
176,COEX Center,"[(176, 85), (176, 98), (176, 137)]","[(176, 17), (176, 85), (176, 98), (176, 128), (176, 137)]"
