,names,words,tags
53,Hongdae Art Market Free Market.csv,"['shop', 'place', 'street', 'visit', 'food', 'go', 'market', 'hongda', 'area']","['shopping', 'walking']"
54,Hongdae NANTA Theatre.csv,"['realli', 'korean', 'would', 'show', 'ticket', 'nanta', 'audienc', 'good']",['touring']
55,Hongik University Street.csv,"['place', 'perform', 'lot', 'street', 'restaur', 'univers', 'shop', 'area', 'mani']","['shopping', 'walking']"
56,Hongik University.csv,"['shop', 'hongik', 'hongda', 'club', 'place', 'like', 'univers', 'student', 'mani']","['shopping', 'walking']"
57,Hyundai Department Store Apgujeong Main.csv,"['store', 'depart', 'end', 'shop', 'food', 'good', 'place', 'brand', 'visit']","['shopping', 'touring']"
58,I-Park Mall.csv,"['mall', 'floor', 'thing', 'shop', 'place', 'one', 'good', 'electron', 'price']",['shopping']
59,Ice Gallery.csv,"['slide', 'ice']",['touring']
60,IFC Mall.csv,"['place', 'store', 'also', 'mall', 'visit', 'brand', 'shop', 'food', 'good']",['shopping']
61,Ihwa Mural Village.csv,"['place', 'seoul', 'see', 'mural', 'villag', 'get', 'walk', 'take', 'visit']","['walking', 'touring']"
62,Ikseon-dong Hanok Street.csv,"['cafe', 'place', 'hanok', 'nice', 'realli', 'get', 'shop', 'restaur', 'mani']",['walking']
63,Insadong.csv,"['insadong', 'tradit', 'korean', 'shop', 'place', 'souvenir', 'street', 'restaur']","['shopping', 'walking', 'touring']"
64,Inwangsan Mountain.csv,"['seoul', 'hike', 'citi', 'mountain', 'view', 'top', 'get', 'take', 'walk']",['walking']
65,Itaewon.csv,"['place', 'seoul', 'itaewon', 'u', 'peopl', 'area', 'shop', 'food']","['shopping', 'walking']"
66,Jamsil Baseball Stadium.csv,"['stadium', 'ticket', 'food', 'fan', 'team', 'cheer', 'game', 'basebal', 'fun']",['touring']
67,Jeoldusan Martyrs' Shrine.csv,"['korea', 'easi', 'faith', 'cathol', 'shrine', 'korean', 'place', 'walk', 'church']","['walking', 'touring']"
68,Jeongdong Observatory.csv,"['hall', 'floor', 'left', 'view', 'build', 'seoul', 'cafe', 'weekend', 'drink']","['walking', 'touring']"
69,Jeongdong Theater.csv,"['show', 'music', 'danc', 'tradit', 'korean', 'stori', 'perform', 'see', 'like']",['touring']
