,name,subway_name,walking_time
0,Seoul Botanical Garden,Magongnaru,7
1,Mangwon Market,Mangwon,5
2,National Museum of Korean Contemporary History,Gwanghwamun,4
3,Express Bus Terminal Shopping Center,Banpo,4
4,Kyunghee University Seoul Campus,Hoegi,10
5,Common Ground,Konkuk University,4
6,Yongma Land,Mangu,16
7,IFC Mall,Yeouido,6
8,SRT,Suseo,2
9,Statue of Admiral Yi Sun-Sin,Gwanghwamun,2
10,Korea Furniture Museum,Hansung University,22
11,Lotte World Folk Museum,Jamsil,3
12,Lotte Outlets Seoul Station,Seoul,2
13,Garak Market,Garak Market,2
14,Seoul Daehangno,Hyehwa,2
15,Grilled Fish Street in Dongdaemun Market,Dongdaemun,5
16,Namsan Cable Car,Myeong-dong,7
17,The War and Women's Human Rights Museum,Mangwon,8
18,Hongdae NANTA Theatre,Hongik University,6
19,Cheongwadae Sarangchae,Gyeongbokgung,10
20,D-Cube City,Sindorim,2
21,Seonyudo Park,Seonyudo,11
22,The Blue House (Cheong Wa Dae),Gyeongbokgung,16
23,Jeongdong Theater,Seodaemun,8
24,Ewha Woman's University,Ewha Womans University,1
25,Sungnyemun Gate,Hoehyeon,4
26,Hyundai Department Store Apgujeong Main,Apgujeong,1
27,Banpodaegyo Bridge,Eonju,8
28,COEX Center,Samsung,4
29,Museum Kimchikan,Anguk,5
