,name,subway_name,walking_time
0,Ansan Jarak-gil,Sinchon (Gyeongui Line),13
1,Seoul City Wall Museum,Dongdaemun,3
2,Myeongdong Underground Shopping Center,Myeong-dong,1
3,Ice Gallery,Hongik University,5
4,Kukkiwon World Taekwondo Headquarters,Gangnam,7
5,Culture Station Seoul 284,Seoul,2
6,KBS On,National Assembly,5
7,An Jung-geun Memorial Hall,Hoehyeon,8
8,Sebitseom,Eonju,10
9,Gyeongui line forest,Hongik University,6
10,Amore Pacific Museum of Art,Sookmyung Women's University,7
11,Baek In-je's House,Anguk,7
12,Jeoldusan Martyrs' Shrine,Hapjeong,9
13,Yangjae Citizens' Park,Yangjae Citizen's Forest,2
14,L?™atelier,Dongdaemun,4
15,Dongdaemun Seonggwak Park,Dongdaemun,2
16,Seocho Tourist Information Center,Gangnam,1
17,Paradise Casino Walkerhill,Gwangnaru,16
18,Mario outlet,Gasan Digital Complex,6
19,Daelim Museum,Gyeongbokgung,3
20,Naksan Public Art,Dongdaemun History & Culture Park,2
21,Seoul Folk Flea Market,Sinseol-dong,3
22,Seodaemun Museum of Natural History,Muakjae,16
23,Dosan Neighborhood Park,Apgujeongrodeo,8
24,Tapgol Park,Jongno 3-ga,5
25,Lotte FitIn,Dongdaemun History & Culture Park,2
26,Seven Luck Casino Gangnam Coex,Bongeunsa,5
27,Gyeonghuigung Palace,Gyeongbokgung,6
28,Figure Museum,Apgujeongrodeo,1
29,Children's Museum of National Museum of Korea,Ichon,4
