,name,subway_name,walking_time
0,GOTO Mall,Express Bus Terminal,1
1,National Museum of Modern and Contemporary Art Seoul,Anguk,7
2,Seokchon Lake,Jamsil,7
3,National Palace Museum of Korea,Gyeongbokgung,3
4,Hongdae Art Market Free Market,Hongik University,7
5,Poopoo Land,Anguk,4
6,Jungbu Market,Euljiro 4-ga,3
7,Seoullo 7017,Seoul,3
8,Seoul World Cup Stadium,World Cup Stadium,3
9,Seoul City Hall,Euljiro 1-ga,6
10,Seolleung & Jeongneung Royal Tomb,Seonjeongneung,4
11,Gwanghwamun Square,Gwanghwamun,4
12,Times Square Mall,Yeongdeungpo,6
13,Lotte Department Store Main,Euljiro 1-ga,3
14,Seoul Central Mosque,Itaewon,4
15,Samcheonggak,Hansung University,28
16,63 City,Noryangjin,9
17,Dongdaemun History & Culture Park,Dongdaemun History & Culture Park,3
18,Stylenanda Pink Hotel Flagship Store,Myeong-dong,3
19,COEX Center,Bongeunsa,3
20,Alive Museum Insadong,Jonggak,6
21,Seoul International Fireworks Festival,National Assembly,8
22,Ihwa Mural Village,Hyehwa,9
23,Sinchon,Sinchon,3
24,Dongdaemun Shopping Complex,Dongdaemun,4
25,Statue of Sejong the Great,Gwanghwamun,2
26,Arario Museum in Space,Anguk,4
27,Seoul Arts Center,Arts Center,4
28,Noryangjin Fisheries Wholesale Market,Noryangjin,2
29,Gocheok Sky Dome,Guil,5
