,name,subway_name,walking_time
0,Doota,Dongdaemun,3
1,apm Place,Dongdaemun History & Culture Park,1
2,Korea University,Korea University,5
3,Bugaksan Seoul Fortress,Gyeongbokgung,26
4,Korean Postage Stamp Museum,Myeong-dong,6
5,Star Avenue at Lotte World,Jamsil,4
6,Migliore Dongdaemun Shop,Dongdaemun,5
7,Lotte Young Plaza Myeongdong,Euljiro 1-ga,4
8,D Museum,Oksu,10
9,Yongsan Family Park,Seobinggo,6
10,Gilsangsa Shrine,Hansung University,20
11,Statue of Gangnam Style,Bongeunsa,3
12,Shinsegae Gangnam,Express Bus Terminal,2
13,Dongdaemun Gate (Heunginjimun),Dongdaemun,1
14,I-Park Mall,Yongsan,2
15,National Hangeul Museum,Ichon,9
16,Kwanghee Fasion Mall,Dongdaemun,5
17,Tourist Information Center of Korea Tourism Organization,Jonggak,3
18,Hongik University,Hongik University,3
19,Seoul Museum of Art,Seodaemun,9
20,Dream Forest,Miasageori,16
21,Jeongdong Observatory,Euljiro 1-ga,8
22,The Story of King Sejong & The Story of Admiral Yi Sunshin,Gwanghwamun,2
23,Seoul National Cemetery,Soongsil University,15
24,Seoul Plaza,Euljiro 1-ga,6
25,Ttukseom Hangang Park,Ttukseom Resort,3
26,Seven Luck Casino Gangbuk Hilton,Hoehyeon,5
27,Unhyeongung,Anguk,2
28,Eungbongsan Mountain,Eungbong,7
29,Mecenatpolis Mall,Hapjeong,2
