,name,subway_name,walking_time
0,Deoksugung,Gwanghwamun,9
1,Yeouido Park,National Assembly,7
2,Olympic Park,Mongchontoseong,8
3,Myeong-dong Cathedral,Myeong-dong,4
4,Seoul Children's Grand Park,Achasan,9
5,Lotte World Aquarium,Jamsil,5
6,Gwanghwamun Gate,Gyeongbokgung,4
7,National Folk Museum of Korea,Gyeongbokgung,10
8,Changgyeonggung Palace,Hyehwa,10
9,Starfield COEX Mall,Bongeunsa,5
10,Jamsil Baseball Stadium,Sports Complex,3
11,Coex Aquarium,Bongeunsa,3
12,Grevin Museum,Euljiro 1-ga,3
13,Seodaemun Prison History Hall,Donon,2
14,Seoul Lantern Festival,Jongno 5-ga,4
15,Namsangol Hanok Village,Chungmuro,3
16,Namdaemun Market,Hoehyeon,3
17,Korea House,Chungmuro,2
18,Itaewon,Itaewon,1
19,Samcheongdong-gil Road,Anguk,10
20,Garosu-gil,Apgujeong,12
21,Naksan Park,Hyehwa,8
22,Shinsegae Dept. Store Main,Hoehyeon,5
23,Lotte World,Jamsil,4
24,Inwangsan Mountain,Donon,6
25,Majang Meat Market,Sindap,6
26,Seoul Museum of History,Gwanghwamun,7
27,Seoul City Wall,Changsin,8
28,Ikseon-dong Hanok Street,Jongno 3-ga,6
29,Jongmyo Shrine,Jongno 3-ga,5
