,name,address
0,Deoksugung,"99 Sejong-daero, Jung-gu, Seoul 04519 South Korea"
1,Yeouido Park,"68, Yeouigongwon-ro, Yeongdeungpo-gu, Seoul 07243 South Korea"
2,Olympic Park,"424, Olympic-ro, Songpa-gu, Seoul 05540 South Korea"
3,Myeong-dong Cathedral,"74 Myeongdong-gil, Jung-gu, Seoul 04537 South Korea"
4,Seoul Children's Grand Park,"216 Neungdong-ro, Gwangjin-gu, Seoul 04991 South Korea"
5,Lotte World Aquarium,"300, Olympic-ro, Songpa-gu Lotte World Mall B1F, Seoul 05551 South Korea"
6,Gwanghwamun Gate,"161 Sajik-ro, Jongno-gu, Seoul 03045 South Korea"
7,National Folk Museum of Korea,"37 Samcheong-ro, Jongno-gu, Seoul 03045 South Korea"
8,Changgyeonggung Palace,"Changgyeonggung 185 Changgyeonggung-ro Jongno-gu, Seoul 03072 South Korea"
9,Starfield COEX Mall,"513, Yeongdong-daero, Gangnam-gu, Seoul 06164 South Korea"
10,Jamsil Baseball Stadium,"10 Jamsil-dong, Songpa-gu, Seoul South Korea"
11,Coex Aquarium,"524, Bongeunsa-ro, Gangnam-gu B1 Coex Mall, Seoul 06164 South Korea"
12,Grevin Museum,"23, Eulji-ro, Jung-gu station la plus proche : Euljiro 1-ga, Seoul 04523 South Korea"
13,Seodaemun Prison History Hall,"484 Tongil-ro, Seodaemun-gu, Seoul 03628 South Korea"
14,Seoul Lantern Festival,"Cheonggyecheon Stream, Seoul South Korea"
15,Namsangol Hanok Village,"28, Toegye-ro 34-gil, Jung-gu, Seoul 04626 South Korea"
16,Namdaemun Market,"21, Namdaemunsijang 4-gil, Jung-gu, Seoul 04529 South Korea"
17,Korea House,"80-2 Pildong 2-ga, Jung-gu, Seoul South Korea"
18,Itaewon,"Itaewon-dong, Yongsan-gu, Seoul South Korea"
19,Samcheongdong-gil Road,"Samcheong-dong, Jongno-gu, Seoul South Korea"
20,Garosu-gil,"Shinsa-dong, Gangnam-gu, Seoul South Korea"
21,Naksan Park,"2-10, San, Dongsung-dong, Jongno-gu, Seoul South Korea"
22,Shinsegae Dept. Store Main,"77, Toegye-ro, Jung-gu, Seoul 04530 South Korea"
23,Lotte World,"240, Olympic-ro, Songpa-gu, Seoul 138-721 South Korea"
24,Inwangsan Mountain,"Jongno-gu, Seoul South Korea"
25,Majang Meat Market,"40, Majang-ro 31-gil, Seongdong-gu, Seoul 04748 South Korea"
26,Seoul Museum of History,"2-1, Sinmunno2-ga, Jongno-gu, Seoul South Korea"
27,Seoul City Wall,"622-83 Changsin-dong Jongno-gu, Seoul South Korea"
28,Ikseon-dong Hanok Street,"Ikseon-dong, Jongno-gu, Seoul South Korea"
29,Jongmyo Shrine,"157, Jong-ro, Jongno-gu, Seoul 03135 South Korea"
