,0,1
0,GOTO Mall,"(37.5062378, 127.0050377)"
1,National Museum of Modern and Contemporary Art Seoul,"(37.5794091, 126.9803691)"
2,Seokchon Lake,"(37.5092404, 127.0991543)"
3,National Palace Museum of Korea,"(37.5773616, 126.9766844)"
4,Hongdae Art Market Free Market,"(37.5521432, 126.9229711)"
5,Poopoo Land,"(37.5719364, 126.9842217)"
6,Jungbu Market,"(37.5648174, 127.0007109)"
7,Seoullo 7017,"(37.5591786, 126.9776692)"
8,Seoul World Cup Stadium,"(37.5666459, 126.9043845)"
9,Seoul City Hall,"(37.5663797, 126.9777154)"
10,Seolleung & Jeongneung Royal Tomb,"(37.5073294, 127.0471528)"
11,Gwanghwamun Square,"(37.571619, 126.976754)"
12,Times Square Mall,"(37.5263715, 126.8962283)"
13,Lotte Department Store Main,"(37.5649903, 126.981369)"
14,Seoul Central Mosque,"(37.532065, 126.9971048)"
15,Samcheonggak,"(37.5970377, 126.9841211)"
16,63 City,"(37.5194647, 126.9398326)"
17,Dongdaemun History & Culture Park,"(37.5642629, 126.9746757)"
18,Stylenanda Pink Hotel Flagship Store,"(37.5618983, 126.985281)"
19,COEX Center,"(37.5101935, 127.0585824)"
20,Alive Museum Insadong,"(37.5718407, 126.9872086)"
21,Seoul International Fireworks Festival,"(37.5284017, 126.9343012)"
22,Ihwa Mural Village,"(37.5769232, 127.0043003)"
23,Sinchon,"(37.566535, 126.9779692)"
24,Dongdaemun Shopping Complex,"(37.5704151, 127.0089513)"
25,Statue of Sejong the Great,"(37.5725254, 126.9756429)"
26,Arario Museum in Space,"(37.5775971, 126.9884326)"
27,Seoul Arts Center,"(37.4786094, 127.0113069)"
28,Noryangjin Fisheries Wholesale Market,"(37.5144828, 126.9370209)"
29,Gocheok Sky Dome,"(37.4984887, 126.8601539)"
30,Seoul Botanical Garden,"(37.5677844, 126.8266858)"
31,Mangwon Market,"(37.5562048, 126.905603)"
32,National Museum of Korean Contemporary History,"(37.5738329, 126.9781104)"
33,Express Bus Terminal Shopping Center,"(37.5054942, 127.006719)"
34,Kyunghee University Seoul Campus,"(37.5953632, 127.0527612)"
35,Common Ground,"(37.5408693, 127.0660137)"
36,Yongma Land,"(37.5958179, 127.1032459)"
37,IFC Mall,"(37.5249367, 126.9252845)"
38,SRT,"(37.566535, 126.9779692)"
39,Statue of Admiral Yi Sun-Sin,"(37.5725254, 126.9756429)"
40,Korea Furniture Museum,"(37.6001521, 126.9934261)"
41,Lotte World Folk Museum,"(37.5112348, 127.0980274)"
42,Lotte Outlets Seoul Station,"(37.555042, 126.9695336)"
43,Garak Market,"(37.492994, 127.112326)"
44,Seoul Daehangno,"(37.586755, 127.0003554)"
45,Grilled Fish Street in Dongdaemun Market,"(37.5729503, 126.9793579)"
46,Namsan Cable Car,"(37.5584157, 126.9805609)"
47,The War and Women's Human Rights Museum,"(37.5600537, 126.9148471)"
48,Hongdae NANTA Theatre,"(37.5530872, 126.9211193)"
49,Cheongwadae Sarangchae,"(37.5729503, 126.9793579)"
50,D-Cube City,"(37.5084321, 126.8887332)"
51,Seonyudo Park,"(37.543569, 126.8997156)"
52,The Blue House (Cheong Wa Dae),"(37.586652, 126.9767701)"
53,Jeongdong Theater,"(37.5659672, 126.9728593)"
54,Ewha Woman's University,"(37.5606558, 126.9465796)"
55,Sungnyemun Gate,"(37.55994159999999, 126.9753042)"
56,Hyundai Department Store Apgujeong Main,"(37.5273268, 127.0274265)"
57,Banpodaegyo Bridge,"(37.5125507, 126.9980133)"
58,COEX Center,"(37.51168500000001, 127.0593394)"
