,name,address
0,GOTO Mall,"Jiha200, Sinbanpo-ro, Seocho-gu, Seoul South Korea"
1,National Museum of Modern and Contemporary Art Seoul,"30, Samcheong-ro, Jongno-gu, Seoul 03062 South Korea"
2,Seokchon Lake,"148, Jamsil-ro, Songpa-gu, Seoul 05608 South Korea"
3,National Palace Museum of Korea,"12 Hyoja-ro, Jongno-gu, Seoul 03045 South Korea"
4,Hongdae Art Market Free Market,"19-3, Wausan-ro 21-gil, Mapo-gu, Seoul 04041 South Korea"
5,Poopoo Land,"44, Insadong-gil, Jongno-gu Ssamjigil Annex 2F, Seoul 03146 South Korea"
6,Jungbu Market,"Ojang-dong, Jung-gu, Seoul South Korea"
7,Seoullo 7017,"432, Cheongpa-ro, Jung-gu Near Seoul Station and Namdaemun Market, Seoul 04509 South Korea"
8,Seoul World Cup Stadium,"Seongsan-dong, Mapo-gu, Seoul 121-250 South Korea"
9,Seoul City Hall,"31 Taepyeongno 1-ga, Jung-gu, Seoul South Korea"
10,Seolleung & Jeongneung Royal Tomb,"1, Seolleung-ro 100-gil, Gangnam-gu, Seoul 06153 South Korea"
11,Gwanghwamun Square,"172, Sejong-daero, Jongno-gu, Seoul 03154 South Korea"
12,Times Square Mall,"Seoul-si Yeongdeungpo-gu Yeongdeungpodong4-ga 441-10, Seoul South Korea"
13,Lotte Department Store Main,"81, Namdaemun-ro, Jung-gu, Seoul 04533 South Korea"
14,Seoul Central Mosque,"30-39, Usadan-ro 10-gil, Yongsan-gu, Seoul 04407 South Korea"
15,Samcheonggak,"3, Daesagwan-ro, Seongbuk-gu, Seoul 02822 South Korea"
16,63 City,"50, 63-ro, Yeongdeungpo-gu, Seoul 07345 South Korea"
17,Dongdaemun History & Culture Park,"15 Deoksugung-gil, Jung-gu, Seoul 04515 South Korea"
18,Stylenanda Pink Hotel Flagship Store,"37-8, Myeongdong 8-gil, Jung-gu, Seoul 04536 South Korea"
19,COEX Center,"159 Samseong 1-dong, Gangnam-gu, Seoul South Korea"
20,Alive Museum Insadong,"12, Insadong-gil, Jongno-gu Daeil Bldg. B1F & B2F, Seoul 03163 South Korea"
21,Seoul International Fireworks Festival,"330 Yeouidong-ro,Yeongdeungpo-gu Yeouido Hangang Park, Seoul 07337 South Korea"
22,Ihwa Mural Village,"Ihwa-dong, Jongno-gu, Seoul South Korea"
23,Sinchon,Seoul South Korea
24,Dongdaemun Shopping Complex,"289-3 Jongno 6-ga, Jongno-gu, Seoul South Korea"
25,Statue of Sejong the Great,"Sejong-ro, Jongno-gu, Seoul South Korea"
26,Arario Museum in Space,"83, Yulgok-ro, Jongno-gu, Seoul 03058 South Korea"
27,Seoul Arts Center,"2406, Nambusunhwan-ro, Seocho-gu, Seoul 06757 South Korea"
28,Noryangjin Fisheries Wholesale Market,"674, Nodeul-ro, Dongjak-gu Metro #1 Noryangjin Station, Seoul 06900 South Korea"
29,Gocheok Sky Dome,"430, Gyeongin-ro, Guro-gu, Seoul 08275 South Korea"
