,name,address
0,Seoul Botanical Garden,"161, Magokdong-ro, Gangseo-gu Near AREX Magoknaru Station, Seoul 07789 South Korea"
1,Mangwon Market,"14, Poeun-ro 8-gil, Mapo-gu, Seoul 04010 South Korea"
2,National Museum of Korean Contemporary History,"198 Sejong-daero, Jongno-gu, Seoul 03141 South Korea"
3,Express Bus Terminal Shopping Center,"194, Sinbanpo-ro, Seocho-gu, Seoul 06545 South Korea"
4,Kyunghee University Seoul Campus,"26, Kyungheedae-ro, Dongdaemun-gu, Seoul 02447 South Korea"
5,Common Ground,"200, Achasan-ro, Gwangjin-gu, Seoul 05071 South Korea"
6,Yongma Land,"118, Mangu-ro 70-gil, Jungnang-gu, Seoul 02180 South Korea"
7,IFC Mall,"10, Gukjegeumyung-ro, Yeongdeungpo-gu, Seoul 07326 South Korea"
8,SRT,Seoul South Korea
9,Statue of Admiral Yi Sun-Sin,"Sejing-ro, Jongno-gu, Seoul South Korea"
10,Korea Furniture Museum,"121, Daesagwan-ro, Seongbuk-gu, Seoul 02822 South Korea"
11,Lotte World Folk Museum,"240, Olympic-ro, Songpa-gu, Seoul 05554 South Korea"
12,Lotte Outlets Seoul Station,"405, Hangang-daero, Jung-gu, Seoul 04509 South Korea"
13,Garak Market,"932, Yangjae-daero, Songpa-gu, Seoul 05699 South Korea"
14,Seoul Daehangno,"Hyehwa-dong, Jongno-gu, Seoul South Korea"
15,Grilled Fish Street in Dongdaemun Market,"Jongno-gu, Seoul South Korea"
16,Namsan Cable Car,"San 1-19, Hoehyeon-dong 1-ga, Jung-gu, Seoul South Korea"
17,The War and Women's Human Rights Museum,"39-13 Seongsan-dong, Mapo-gu, Seoul 03965 South Korea"
18,Hongdae NANTA Theatre,"29, Yanghwa-ro 16-gil, Mapo-gu Hongik Mall, Seoul 04039 South Korea"
19,Cheongwadae Sarangchae,"152 Hyoja-dong, Jongno-gu, Seoul 110-033 South Korea"
20,D-Cube City,"662, Gyeongin-ro, Guro-gu, Seoul 08209 South Korea"
21,Seonyudo Park,"343, Seonyu-ro, Yeongdeungpo-gu, Seoul 07200 South Korea"
22,The Blue House (Cheong Wa Dae),"1 Cheongwadae-ro, Jongno-gu, Seoul 110-820 South Korea"
23,Jeongdong Theater,"43 Jeongdong-gil, Jung-gu, Seoul 04518 South Korea"
24,Ewha Woman's University,"Daehyeon-dong, Seodaemun-gu, Seoul South Korea"
25,Sungnyemun Gate,"40, Sejong-daero, Jung-gu, Seoul 04528 South Korea"
26,Hyundai Department Store Apgujeong Main,"165, Apgujeong-ro, Gangnam-gu, Seoul 06001 South Korea"
27,Banpodaegyo Bridge,"350 Dongjak-daero, Banpobon-dong, Seocho-gu Moonlight Rainbow Fountain, Seoul 06500 South Korea"
28,COEX Center,"513 Yeongdong-daero, Samseong 1(il)-dong, Gangnam-gu, Seoul"
29,Museum Kimchikan,"35-4, Insadong-gil, Jongno-gu 4~6F, Insadong Maru Building, Seoul 03149 South Korea"
